Country,Name,Born,Occupation,Education
China,Bai Jingting,"( 1993-10-15 ) October 15, 1993 (age 31) Huairou District , Beijing , China","Actor, Singer, Model, Entrepreneur",Not available
China,Bai Yu,"( 1990-04-08 ) April 8, 1990 (age 35) Xi'an , Shaanxi , China",Actor,Not available
China,William Chan,( 1985-11-21 ) 21 November 1985 (age 39) British Hong Kong,"Singer, dancer, actor","high school,, Yew Chung International School"
China,Jackie Chan,Chan Kong-sang [ 1 ] [ 2 ] ( 1954-04-07 ) 7 April 1954 (age 71) British Hong Kong,"Martial artist, actor, director, writer, producer, action choreographer, singer, stunt director, stunt performer",Not available
China,Sunny Chan,( 1967-01-01 ) 1 January 1967 (age 58) Hong Kong,Actor,Not available
India,Aadhi Pinisetty,( 1982-12-14 ) 14 December 1982 (age 42),Actor,Not available
India,Aadi Saikumar,"Aditya Pudipeddi ( 1987-12-23 ) 23 December 1987 (age 37) [ 1 ] Amudalavalasa , Andhra Pradesh , India",Actor,Not available
India,Aamir Khan,"Mohammed Aamir Hussain Khan ( 1965-03-14 ) 14 March 1965 (age 60) Bombay , Maharashtra , India","Actor, filmmaker",Narsee Monjee College
India,Aanjjan Srivastav,"Anjan Srivastav ( 1948-06-02 ) 2 June 1948 (age 77) [ 1 ] Calcutta , West Bengal, Dominion of India (present day, Kolkata , West Bengal, India )",Actor,Not available
India,Abbas,"Mirza Abbas Ali ( 1975-05-21 ) 21 May 1975 (age 50) [ 1 ] Howrah , West Bengal , India","Actor, model, motivational speaker",Not available
